name,assists,bonus,bps,clean_sheets,creativity,end_cost,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,start_cost,threat,total_points,yellow_cards,cost_18_19,points_18_19
Aaron_Cresswell_376,7,10,613,10,562.7,49,60,1,145.0,690.2,3069,0,0,0,0,0,50,193.0,118,7,55,34
Aaron_Lennon_430,4,0,204,6,203.2,54,30,0,73.3,232.2,1906,0,0,0,0,0,55,297.0,65,2,50,41
Aaron_Mooy_516,3,8,576,10,848.8,52,52,4,195.2,753.2,3066,0,0,0,0,0,55,350.0,113,4,55,76
Aaron_Wan-Bissaka_122,0,0,116,2,60.0,45,10,0,26.8,207.2,627,0,0,0,0,0,45,2.0,15,1,40,120
Abdoulaye_Doucouré_368,4,16,679,9,595.8,52,63,7,199.7,859.0,3324,0,0,0,0,0,50,537.0,136,10,60,124
Adam_Lallana_195,0,0,37,1,113.4,73,1,0,27.3,32.6,234,0,0,0,0,0,75,128.0,13,1,70,23
Adam_Smith_63,3,3,376,2,345.5,48,38,1,94.5,455.0,2067,0,0,0,0,0,50,144.0,56,6,45,70
Ademola_Lookman_155,1,0,30,0,20.5,51,6,0,7.5,12.0,153,0,0,0,0,0,55,43.0,10,0,55,34
Adrian_Mariappa_356,0,2,378,6,59.4,41,43,0,62.8,462.0,2206,0,0,0,0,0,40,106.0,58,4,45,57
Adrián_San Miguel del Castillo_526,0,5,374,6,0.0,40,29,0,47.0,470.4,1710,0,0,0,0,69,45,0.0,72,2,45,0
Ainsley_Maitland-Niles_4,0,0,160,3,141.3,45,16,0,37.8,168.4,908,0,0,0,0,0,45,67.0,25,1,45,34
Alexandre_Lacazette_12,5,11,543,10,566.0,103,28,14,258.0,725.6,2197,0,0,0,0,0,105,1291.0,138,1,95,166
Alexis_Sánchez_240,10,13,515,11,1155.2,114,32,9,326.1,823.2,2546,0,1,0,0,0,120,1281.0,152,5,105,47
Alex_Iwobi_17,5,2,426,9,592.9,51,26,3,165.6,430.0,1827,0,0,0,0,0,55,635.0,89,1,55,99
Alex_McCarthy_318,0,3,278,4,0.0,44,26,0,28.1,280.8,1620,0,0,0,0,42,45,0.0,52,2,45,73
Alex_Oxlade-Chamberlain_193,7,5,423,5,625.1,55,28,3,166.5,548.0,1718,0,0,0,0,0,60,494.0,94,3,65,2
Alfie_Whiteman_543,0,0,0,0,0.0,40,0,0,0.0,0.0,0,0,0,0,0,0,40,0.0,0,0,40,0
Andreas_Christensen_108,0,4,475,8,66.5,53,23,0,64.3,466.6,2067,0,0,0,0,0,55,109.0,79,0,55,22
Andreas_Pereira_246,0,0,0,0,0.0,49,0,0,0.0,0.0,0,0,0,0,0,0,50,0.0,0,0,50,27
Andrew_Robertson_181,5,12,514,10,414.5,50,18,1,101.3,424.0,1940,0,0,0,0,0,50,174.0,111,2,60,213
Andrew_Surman_80,5,9,363,5,261.1,43,29,2,84.0,458.0,1851,0,0,0,0,0,45,121.0,82,2,50,36
Andre_Gray_364,3,4,237,5,254.0,63,30,5,108.2,251.2,1486,0,0,0,0,0,65,594.0,79,1,60,83
Andros_Townsend_135,9,7,552,9,1012.1,56,48,2,222.8,626.0,3120,0,0,0,0,0,60,587.0,121,3,60,135
Andy_Carroll_520,1,6,106,3,110.2,57,13,3,58.8,145.4,742,0,0,0,1,0,60,344.0,36,5,55,12
Angelo_Ogbonna_377,0,4,520,7,81.4,42,60,1,91.4,687.8,2880,0,0,0,0,0,45,145.0,77,3,45,48
Anthony_Knockaert_52,1,6,383,11,557.2,55,29,3,149.1,404.0,2415,0,0,0,1,0,60,530.0,88,4,55,74
Anthony_Martial_239,6,7,403,9,509.3,78,13,9,179.5,535.4,1572,0,0,0,0,0,80,748.0,125,1,75,122
Antonio_Rüdiger_104,1,8,557,12,83.0,58,22,2,84.8,546.6,2336,0,0,0,0,0,60,217.0,115,4,60,116
Arthur_Masuaku_378,3,2,352,6,295.1,42,29,0,80.7,385.0,1867,0,0,0,0,0,45,128.0,68,5,45,49
Artur_Boruc_73,0,0,0,0,0.0,41,0,0,0.0,0.0,0,0,0,0,0,0,45,0.0,0,0,40,46
Ashley_Barnes_90,0,9,290,5,274.8,53,23,9,145.8,407.2,2150,0,0,0,0,0,55,797.0,92,10,60,122
Ashley_Westwood_101,1,1,189,2,134.8,43,17,0,40.7,182.4,1105,0,0,0,0,0,45,90.0,35,2,45,111
Ashley_Young_224,6,11,479,9,502.3,48,26,2,131.6,601.2,2444,0,0,0,0,0,50,213.0,98,7,60,73
Asmir_Begovic_72,0,6,631,6,20.0,45,61,0,80.8,790.8,3420,0,0,1,0,111,45,0.0,112,2,45,63
Aymeric_Laporte_202,0,2,204,4,52.8,51,5,0,25.4,165.8,806,0,0,0,0,0,55,34.0,35,1,55,177
Ayoze_Pérez_265,6,15,420,8,539.0,55,28,8,191.7,571.8,2486,1,0,0,0,0,55,809.0,124,3,65,141
Bamidele_Alli_344,13,12,565,16,878.5,90,28,9,258.8,775.2,2957,0,0,0,0,0,95,934.0,175,7,90,94
Beni_Baningime_557,0,0,20,0,3.8,45,2,0,1.3,9.4,192,0,0,0,0,0,45,0.0,7,1,45,0
Benjamin_Chilwell_161,2,4,381,6,332.1,44,30,0,78.0,382.8,1848,0,0,0,1,0,45,63.0,65,1,50,118
Benjamin_Mendy_204,1,1,96,2,139.3,63,1,0,27.2,84.2,360,0,0,0,0,0,65,48.0,20,2,60,59
Ben_Davies_329,7,14,615,12,698.8,58,20,2,151.0,610.0,2323,0,0,0,0,0,55,201.0,143,3,60,66
Ben_Foster_366,0,11,635,10,20.0,43,55,0,73.8,716.8,3330,0,0,0,0,99,45,0.0,123,2,45,129
Ben_Johnson_384,0,0,0,0,0.0,44,0,0,0.0,0.0,0,0,0,0,0,0,45,0.0,0,0,40,2
Ben_Mee_83,0,6,491,9,74.5,49,27,0,117.3,748.6,2610,0,0,0,0,0,45,349.0,90,5,50,81
Beram_Kayal_56,0,0,115,1,137.0,44,14,0,29.6,111.2,735,0,0,0,0,0,45,48.0,25,2,45,36
Bernardo Mota_Veiga de Carvalho e Silva_218,5,8,440,9,508.7,72,10,6,144.4,475.6,1514,0,0,0,0,0,80,464.0,112,0,75,154
Callum_Hudson-Odoi_116,0,0,11,0,1.7,45,1,0,3.8,8.8,27,0,0,0,0,0,45,27.0,2,0,45,18
Callum_Wilson_67,2,13,282,6,288.4,56,33,8,147.5,392.2,1981,0,0,0,0,0,60,799.0,102,0,60,168
Calum_Chambers_467,0,0,171,2,40.0,47,14,0,40.2,227.8,864,0,0,0,0,0,50,134.0,23,1,45,60
Carl_Jenkinson_9,0,0,0,0,0.0,45,0,0,0.0,0.0,0,0,0,0,0,0,45,0.0,0,0,45,4
Cenk_Tosun_146,0,9,192,4,226.4,67,13,5,75.6,232.4,984,0,0,0,0,0,75,304.0,55,0,70,56
Charlie_Austin_312,1,9,215,4,89.4,58,15,7,107.7,302.8,1024,0,0,0,0,0,65,689.0,72,2,60,46
Charlie_Daniels_60,3,4,587,6,479.7,47,50,1,125.9,582.2,3001,0,0,0,0,0,50,196.0,94,0,45,44
Charlie_Taylor_87,0,0,132,2,86.8,42,12,0,27.5,184.2,949,0,0,0,0,0,45,4.0,23,3,45,82
Cheikhou_Kouyaté_139,3,2,367,7,262.4,50,56,2,106.1,480.0,2798,0,0,0,0,0,50,320.0,86,5,50,67
Christian_Atsu_267,4,5,236,6,340.6,48,22,2,112.9,308.8,1776,0,0,0,0,0,50,480.0,78,1,55,55
Christian_Benteke_129,7,5,174,6,406.7,75,36,3,157.5,325.2,2234,0,1,0,0,0,80,845.0,84,6,65,33
Christian_Eriksen_343,10,23,826,17,1487.0,97,33,11,358.2,1072.6,3218,0,0,0,0,0,95,1021.0,199,0,95,161
Christian_Fuchs_163,1,8,370,4,282.2,47,35,0,73.5,396.6,1917,1,0,0,0,0,50,55.0,57,1,45,3
